ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000852.SH,20051216,831.961,824.582,832.291,821.464,824.607,7.354,0.8918,1240785.44,506375.487
000852.SH,20051219,834.02,832.924,835.484,828.884,831.961,2.059,0.2475,1201414.23,478300.888
000852.SH,20051220,835.007,834.236,835.007,826.782,834.02,0.987,0.1183,1151476.59,422193.115
000852.SH,20051221,823.371,834.702,834.851,822.583,835.007,-11.636,-1.3935,1116880.01,421009.608
000852.SH,20051222,826.909,823.113,826.909,819.079,823.371,3.538,0.4297,980930.81,381504.968
000852.SH,20051223,834.717,826.994,834.738,826.038,826.909,7.808,0.9442,1314246.44,501665.076
000852.SH,20051226,841.206,835.63,842.765,835.518,834.717,6.489,0.7774,1633859.2,654746.916
000852.SH,20051227,841.925,841.164,843.39,836.075,841.206,0.719,0.0855,1403398.48,556274.214
000852.SH,20051228,844.074,842.111,844.178,838.841,841.925,2.149,0.2552,1283324.65,511611.125
000852.SH,20051229,852.386,846.537,852.686,845.972,844.074,8.312,0.9847,1879185.31,780100.566
000852.SH,20051230,842.736,853.462,854.576,841.292,852.386,-9.65,-1.1321,1675366.91,731327.7
000852.SH,20060104,852.531,843.915,853.535,843.074,842.736,9.795,1.1623,1644713.79,683339.727
000852.SH,20060105,865.698,852.531,865.698,852.531,852.531,13.167,1.5445,2860486.69,1137797.521
000852.SH,20060106,872.818,867.258,876.549,861.502,865.698,7.12,0.8225,3312897.06,1337132.48
000852.SH,20060109,886.656,875.19,886.833,873.477,872.818,13.838,1.5854,3263816.2,1318200.133
000852.SH,20060110,889.152,886.791,889.387,876.643,886.656,2.496,0.2815,2639767.42,1007520.003
000852.SH,20060111,880.909,888.874,889.615,876.202,889.152,-8.243,-0.9271,2944713.25,1155587.612
000852.SH,20060112,899.809,879.943,899.958,879.067,880.909,18.9,2.1455,3076944.31,1214709.953
000852.SH,20060113,904.611,900.828,906.745,896.371,899.809,4.802,0.5337,3329580.02,1283108.447
000852.SH,20060116,892.798,905.245,907.653,892.766,904.611,-11.813,-1.3059,2949911.34,1183438.23
000852.SH,20060117,891.538,890.605,894.037,885.567,892.798,-1.26,-0.1411,2329987.83,903378.505
000852.SH,20060118,908.856,890.424,908.856,890.424,891.538,17.318,1.9425,2981579.8,1157770.798
000852.SH,20060119,914.31,910.272,914.417,901.92,908.856,5.454,0.6001,3317354.97,1277793.421
000852.SH,20060120,908.661,914.781,914.781,904.264,914.31,-5.649,-0.6178,3389254.88,1342493.811
000852.SH,20060123,909.728,909.963,910.062,897.039,908.661,1.067,0.1174,3369268.57,1275990.359
000852.SH,20060124,903.843,910.735,914.677,903.79,909.728,-5.885,-0.6469,3305868.25,1260776.291
000852.SH,20060125,887.718,902.817,905.643,884.166,903.843,-16.125,-1.784,3160232.59,1188368.863
000852.SH,20060206,909.473,889.411,909.48,889.411,887.718,21.755,2.4507,2685013.2,1033012.919
000852.SH,20060207,915.254,911.128,915.434,902.996,909.473,5.781,0.6356,3854008.86,1444139.219
000852.SH,20060208,924.705,914.815,924.705,910.682,915.254,9.451,1.0326,3067346.33,1140065.497
000852.SH,20060209,914.397,926.214,926.214,913.0,924.705,-10.308,-1.1147,2839469.92,1125440.609
000852.SH,20060210,925.088,916.832,925.221,913.929,914.397,10.691,1.1692,2610968.42,1043378.82
000852.SH,20060213,926.473,926.24,926.473,913.081,925.088,1.385,0.1497,2827185.34,1073495.366
000852.SH,20060214,934.089,926.518,934.977,923.857,926.473,7.616,0.822,2810255.39,1015191.74
000852.SH,20060215,935.766,936.925,938.513,931.297,934.089,1.677,0.1795,3321186.98,1267469.064
000852.SH,20060216,913.996,935.867,935.867,913.465,935.766,-21.77,-2.3264,3843756.23,1403324.275
000852.SH,20060217,907.709,913.996,920.124,904.934,913.996,-6.287,-0.6879,3099004.59,1139900.287
000852.SH,20060220,899.591,905.907,908.105,898.587,907.709,-8.118,-0.8943,2467924.93,926634.025
